department,abstract
1,"We show that a dihedral group H of conforma! automorphisms of a closed Riemann surface S can be lifted for a suitable Schottky uniformization of S. In particular, this implies the existence of a suitable symplectic homology basis of S for which the symplectic representation of H has a simple form."
2,"With the fast growth of the Latin America electronic commerce (e-Commerce), it is indispensable to design effective websites. Evaluating usability issues allows improving the design. One popular method for detecting usability problems is the heuristic evaluation, in which evaluators employ a set of usability heuristics as a guide. Using proper heuristics is highly relevant. In this paper, we present a set of 12 cultural-oriented usability heuristics, developed iteratively, and validated, in their final step, on e-Commerce websites. The evidence supports our argument that websites which display characteristics relevant to specific issues of the four Hofstede's cultural dimensions improve their usability."
2,"The massive use of internet provides information access all over the world. It represents a potential benefit for everyone, but also brings disadvantages when it comes to deliver the information in an effective manner. Intercultural aspects have to be explicitly considered when developing web applications. This paper proposes a set of usability heuristics that includes cultural aspects. Preliminary validation proves its potential when evaluating web sites."
2,"Diferentes estudios en los últimos años han demostrado que los videojuegos (VJ) poseen intrínsecamente un componente potencialmente motivador. Lo cual, ha llevado a las personas–en su mayoría jóvenes–a involucrarse directamente con este tipo de tecnologías y adaptarse fácilmente a ellas. Esto se ha podido evidenciar en diferentes contextos de aplicación, principalmente en la industria del entretenimiento. Sin embargo, existe evidencia en la actualidad del incremento del uso de VJ en otros entornos como lo son la rehabilitación, la salud y la educación. Específicamente, nuestra propuesta está enfocada en el campo educativo, donde las nuevas tecnologías son parte del día a día de los estudiantes y es necesario que las metodologías tradicionales se adapten a estas. Nuestra propuesta está centrada en encontrar el cómo estamos tomando ventaja de los VJ y cómo podemos mejorar cada día para que los estudiantes incrementen sus habilidades con la ayuda de la realidad virtual. Para ello, hemos realizado una revisión de la literatura con el objetivo de encontrar las principales características y métodos usados en la educación mediante la realidad virtual (RV). A partir de esta revisión, presentamos una propuesta de solución y una validación mediante el uso de un juego."
2,"Teaching computer programming is an important topic. Due to Science and Technology initiatives, these topics are considered in different training cycles. For higher education, students must cultivate fundamental concepts for the development of software applications, which not only contribute to the knowledge of programming languages but also to opening guidelines for computational thinking. However, selecting a proper tool can be complex. Especially for the diversity of alternatives on the web. Further, not all of them meet basic usability requirements. In this study, we present a set of platforms that seek to develop programming skills based on video games. The search consisted of 4 stages: (i) definition of the research questions, (ii) scope review, (iii) execution of search and (iv) platform selection. Finally, we employ a usability heuristic evaluation for a novice programming system to determine best practices."
2,"The development of a methodology for collaborative and ubiquitous learning, not only combines the advantages of a collaborative learning environment with the benefits of ubiquitous computing and flexibility of new digital technological devices, but ubiquitous computer-supported collaborative learning (u-CSCL) as a methodology which takes renewed importance in education, making it a natural part of the training activities carried out by people throughout his life. This document presents a literature review and exposes the implications of the u-Learning in information systems for group learning in a collaborative way."
2," Autism spectrum disorder (ASD) is a neurodevelopmental disorder defined as persistent difficulty in maturing the socialization process. Health professionals have used traditional methods in the therapies performed on patients with the aim of improving the expression of emotions by patients. However, they have not been sufficient to detect the different emotions expressed in the face of people according to different sensations. Therefore, different artificial intelligence techniques have been applied to improve the results obtained in these therapies. In this article, we propose the construction of an intelligent mirror to recognize five basic emotions: angry, scared, sad, happy and neutral. This mirror uses convolutional neural networks to analyze the images that are captured by a camera and compare it with the one that the patient should perform, thus supporting the therapies performed by health professionals in …"
2,Human-Computer Interaction and technology-aided instruction are beginning to focus on Augmented Reality (AR) path due to its ability to support different approaches for learning and entertainment. This kind of technology facilitates the student's attention by merging the real-world with virtual attributes. This paper presents a systematic mapping study of the use of Augmented Reality within video games and educational purposes.
2,"Gamification is the use of game elements to engage the audience in non-ludics environments. This work describes a proposal based on gamification called ""Marketplace"" and its implementation in a formal programming course for engineering education in the Universidad de La Frontera. We use the first two levels of the Kirkpatrick's model, to evaluate the impact and motivation on students. The results reaffirm the idea that the use of different strategies in favor of the teaching and learning process is highly appreciated."
2,"This paper describes a real case of redesigning a Chilean airline's website, considering cultural elements, customer behavior, and general user experience. We analyzed usability issues and problems in the information architecture, such as a benchmarking for best practices in the current area. We considered Hofstede's cultural recommendations, and previous work, to propose the final design. Different experiments and more than 40 direct participants worked in the current proposal. After a year of the implementation, and more than 4,000 transactions, the company obtained significant improvements and a better position on the market."
2,Autistic Spectrum Disorders (ASD) are an alteration of neurodevelopment and are defined as the persistent difficulty in the maturation of the socialization process. This paper p resents a systematic mapping s tudy of the use of technology in emotion recognition in children with ASD. We conclude on the techniques employed and user i nterface recommendations.
2,Human-Computer Interaction and technology-aided instruction are beginning to focus on Virtual Reality (VR) approach due to its ability to support immersive learning and teaching by simulation. This kind of technology facilitates the student's attention by immersing them in virtual worlds and supplies key elements to understand abstract concepts or highly visual content. This paper presents a systematic mapping study of the use of Virtual Reality in High School education.
2,"With the fast growth of the Latin America ecommerce industry, it is thus indispensable to design effective applications for e-commerce websites in a Latin American context, by taking into account cultural factors. In this paper, we conduct an empirical study of different platforms from an exponential business sector. This paper presents initial evidence in support of our argument that interfaces that display characteristics relevant to specific sides of four of Hofstede's cultural dimensions increase usability for all users."
2,"While some areas of software engineering knowledge present great advances with respect to the automation of processes, tools, and practices, areas such as software maintenance have scarcely been addressed by either industry or academia, thus delegating the solution of technical tasks or human capital to manual or semiautomatic forms. In this context, machine learning (ML) techniques play an important role when it comes to improving maintenance processes and automation practices that can accelerate delegated but highly critical stages when the software launches. The aim of this article is to gain a global understanding of the state of ML-based software maintenance by using the compilation, classification, and analysis of a set of studies related to the topic. The study was conducted by applying a systematic mapping study protocol, which was characterized by the use of a set of stages that strengthen its replicability. The review identified a total of 3776 research articles that were subjected to four filtering stages, ultimately selecting 81 articles that were analyzed thematically. The results reveal an abundance of proposals that use neural networks applied to preventive maintenance and case studies that incorporate ML in subjects of maintenance management and management of the people who carry out these tasks. In the same way, a significant number of studies lack the minimum characteristics of replicability."
2," Given the nature of the elements that make up blood, microscopes are fundamental to identifying blood cell morphology. These instruments are expensive and limited, and it is difficult to keep blood samples and their diversity in educational environments. We propose a solution based on virtual reality, that generates reliable blood samples using the automatic creation of images that simulate specific pathologies. We validated the proposal in three aspects: A method of adoption model, the validation of replicated samples and a performance test. The study and subsequent development of the mobile application were able to generate simulations of samples corresponding to a healthy adult and an adult with acute myeloid leukemia, where users can visualize, explore and obtain data on each of the elements that appear in the sample. This iteration not only verifies its technical feasibility but opens the way for future …"
2," This research analyzes self-reported methods for user satisfaction evaluation through science mapping. The focal point of the domain fields of a user satisfaction evaluation must be fully established according to the current reality (challenges, issues and gaps) and future scientific perspectives (patterns and trends). The foregoing motivates the authors of the present article to use tools such as SciMAT to analyze the bibliographical production on user satisfaction and to identify the thematic patterns related to the user experience of particular interest in this study, such as self-reported methods, specifically SUS, SUMI and QUIS. Self-reported methods are the most frequently used evaluation tools due to their simplicity and low cost. Such methods offer information about users’ subjective reactions and can become one of the most important inputs to collect and understand users’ behavior, preferences and perceptions …"
